,Наименование,Бренд,Цена,Цена со скидкой,Цвет,Ссылка
76,Аэрозольная акриловая краска металлик PM-0005,RAYDAY,4000.0,400,розовый,https://www.wildberries.ru/catalog/111556877/detail.aspx?targetUrl=BP
77,Эмаль Универсальная,RAYDAY RAL 0544,4000.0,400,голубой,https://www.wildberries.ru/catalog/111545195/detail.aspx?targetUrl=BP
78,"Автоэмаль алкидная 791 Солярис, аэрозоль, 520 мл",AUTON,930.0,465,,https://www.wildberries.ru/catalog/138665160/detail.aspx?targetUrl=BP
79,Краска-спрей супер медь 28 (227г),Abro,934.0,308,коричневый,https://www.wildberries.ru/catalog/51654403/detail.aspx?targetUrl=BP
80,Краска аэрозольная акриловая Rayday RD-0,нет бренда,3703.0,2777,,https://www.wildberries.ru/catalog/99684068/detail.aspx?targetUrl=BP
81,"Краска Land Rover Buckingham Blue 796, JGJ, LRC796",PODBORCVETA,1525.0,1525,,https://www.wildberries.ru/catalog/144238206/detail.aspx?targetUrl=BP
82,Краска Lexus Sonic Titanium - 1J7 - 520 мл,RAL1,1370.0,1370,серый,https://www.wildberries.ru/catalog/57756408/detail.aspx?targetUrl=BP
83,"Краска Volkswagen Vermelho Coral - C4C4, I3K, LI3K - 520 мл",RAL1,1370.0,1370,,https://www.wildberries.ru/catalog/57730143/detail.aspx?targetUrl=BP
84,"Краска Nissan White - D34, QM1, BQM1, QM1S, 389 - 520 мл",RAL1,1370.0,1370,,https://www.wildberries.ru/catalog/57515276/detail.aspx?targetUrl=BP
85,Краска ВАЗ (Лада) Gelb - 222 - 520 мл,RAL1,1370.0,1370,,https://www.wildberries.ru/catalog/57519369/detail.aspx?targetUrl=BP
86,"Краска Citroen Blanc Banquise - 1160507, EWPA - 520 мл",RAL1,1370.0,1370,белый,https://www.wildberries.ru/catalog/57574987/detail.aspx?targetUrl=BP
87,Краска Lada Жемчуг 230,PODBORCVETA,1350.0,1350,,https://www.wildberries.ru/catalog/143949615/detail.aspx?targetUrl=BP
88,"Краска Audi Atlasgrau 4A, LY7Q, Y7Q",PODBORCVETA,1350.0,1350,,https://www.wildberries.ru/catalog/143986070/detail.aspx?targetUrl=BP
89,"Краска RENAULT FLUENCE, код RNR, аэрозоль 520 мл",FixPaint,1390.0,1125,,https://www.wildberries.ru/catalog/134255100/detail.aspx?targetUrl=BP
90,"Краска KIA CEED 3 (CD), код FD, TREK RED СОЛИД",FixPaint,1390.0,1125,,https://www.wildberries.ru/catalog/134274258/detail.aspx?targetUrl=BP
91,"Краска KIA, код AA9, INFRAROT",FixPaint,1390.0,1125,,https://www.wildberries.ru/catalog/134358585/detail.aspx?targetUrl=BP
92,"Краска VOLKSWAGEN GOLF 5, код X6X6, аэрозоль 520 мл",FixPaint,1390.0,1125,,https://www.wildberries.ru/catalog/137170546/detail.aspx?targetUrl=BP
93,"Краска VOLKSWAGEN PASSAT B5, код LC6N, аэрозоль 520 мл",FixPaint,1390.0,1125,,https://www.wildberries.ru/catalog/137135594/detail.aspx?targetUrl=BP
94,Аэрозольная краска на RENAULT 424 BLEU SCHISTE 500 мл,Kiwix,2060.0,1030,,https://www.wildberries.ru/catalog/60139486/detail.aspx?targetUrl=BP
95,Аэрозольная краска на VOLKSWAGEN LB7Z SATINSILBER 500 мл,Kiwix,2060.0,1030,,https://www.wildberries.ru/catalog/60159831/detail.aspx?targetUrl=BP
96,Аэрозольная краска на MITSUBISHI W83 INNSBRUCK WHITE 500 мл,Kiwix,2060.0,1030,,https://www.wildberries.ru/catalog/60129920/detail.aspx?targetUrl=BP
97,Аэрозольная краска на VOLKSWAGEN 7D7D INDIGOBLAU 500 мл,Kiwix,2060.0,1030,,https://www.wildberries.ru/catalog/60164528/detail.aspx?targetUrl=BP
98,Аэрозольная краска на MAZDA 2F LANCASTER SILVER 500 мл,Kiwix,2060.0,1030,,https://www.wildberries.ru/catalog/60127688/detail.aspx?targetUrl=BP
99,Аэрозольная краска на MERCEDES 592 NORDLICHTVIOLETT 500 мл,Kiwix,2060.0,1030,,https://www.wildberries.ru/catalog/60126313/detail.aspx?targetUrl=BP
100,Автоэмаль LADA 242 SERY BAZALT BASALT GREY 500 мл,Kiwix,2060.0,1030,,https://www.wildberries.ru/catalog/60126343/detail.aspx?targetUrl=BP
101,Аэрозольная краска на JAGUAR 1959(I) MIDNIGHT BLACK 500 мл,Kiwix,2060.0,1030,,https://www.wildberries.ru/catalog/60123271/detail.aspx?targetUrl=BP
